vilcode11,village,taluk,parcels,farmers,extent_ha,irrigated_pct,village_area_ha,lat,lon
611909,Manchihalli,Gubbi,199,157,157.9,78,134,13.2114,76.8409
611911,Manchihalli,Gubbi,134,91,112.9,73,164,13.1956,76.8457
611631,Manchladore,Gubbi,194,103,124.6,94,611,13.534,76.8395
611932,Manekuppe,Gubbi,224,163,260.2,87,302,13.1329,76.9731
611727,Mannamari Kaval,Gubbi,358,248,367.1,20,1701,13.405,76.9766
611684,Maranahalli,Gubbi,113,79,93.3,73,295,13.4694,76.8885
611861,Marasettihalli,Gubbi,942,402,502.2,82,1136,13.3073,76.8082
611648,Marehallada Kaval,Gubbi,80,57,88.9,94,746,13.4722,76.7952
611629,Matha,Gubbi,120,79,106.3,100,402,13.5097,76.8578
611802,Mattigatta,Gubbi,204,115,177.4,47,501,13.3153,76.8983
611904,Mattighatta,Gubbi,450,182,183.3,100,258,13.2097,76.8242
611950,Mattikere,Gubbi,304,203,203.1,47,521,13.1212,76.9083
611742,Mattikere,Gubbi,51,42,44.6,65,178,13.4079,76.8747
611637,Mattikere,Gubbi,100,75,89.1,77,508,13.5024,76.7449
611935,Mavinahalli,Gubbi,238,158,175.0,95,366,13.1462,76.9415
611756,Mavinahalli,Gubbi,194,110,170.4,20,614,13.3666,76.717
611635,Mayappanahalli,Gubbi,103,76,55.8,21,189,13.5206,76.7646
611632,Muchchavirahalli,Gubbi,119,70,129.8,87,546,13.5387,76.8276
611754,Mudalapalya,Gubbi,142,109,116.3,56,330,13.3668,76.7446
611736,Muddanahalli,Gubbi,12,8,9.9,75,66,13.4041,76.7886
611851,Muddanahalli,Gubbi,94,76,99.0,84,389,13.2528,76.9701
611767,Muddapura,Gubbi,68,59,64.6,90,176,13.3754,76.8365
611828,Mudigere,Gubbi,211,128,224.1,64,373,13.3332,76.9719
611664,Mudlahalli,Gubbi,54,41,56.0,67,69,13.4204,76.8433
611708,Muganahunse,Gubbi,186,94,128.7,67,422,13.4182,76.882
611748,Muganayakankote,Gubbi,220,159,156.8,95,422,13.3863,76.8495
611829,Mukanahalli Ak,Gubbi,279,190,229.6,89,341,13.3339,76.9845
611820,Mukanahalli Patna,Gubbi,85,52,71.6,49,209,13.3432,76.9834
611757,Musakondli,Gubbi,292,159,183.5,2,278,13.3561,76.7203
611691,Na,Gubbi,91,59,123.0,92,162,13.4562,76.8861
611858,Nagasandra,Gubbi,392,185,234.6,87,384,13.2012,76.9435
611646,Naikanakere,Gubbi,61,36,39.6,85,802,13.498,76.7869
611694,Nallur,Gubbi,416,240,310.9,48,1179,13.462,76.9252
611714,Nandihalli,Gubbi,274,136,119.9,0,368,13.441,76.9627
611808,Nandihalli,Gubbi,432,267,292.6,100,540,13.2898,76.8485
611958,Naranahalli,Gubbi,538,279,302.7,5,699,13.1114,76.9583
611625,Nayakanahalli,Gubbi,33,26,23.6,97,300,13.5464,76.8639
611628,Nelluru,Gubbi,54,34,66.3,63,154,13.5286,76.8457
611790,Neralekere,Gubbi,115,88,104.6,100,489,13.3045,76.7575
611933,Nettekere,Gubbi,451,236,283.2,73,492,13.1398,76.964
611711,Nimbekatte,Gubbi,71,53,64.4,86,285,13.4086,76.9201
611799,Nittur,Gubbi,656,307,353.1,87,710,13.3231,76.853
611800,Nittur Ak,Gubbi,266,170,267.2,34,396,13.3144,76.8696
611729,Obalapura,Gubbi,54,47,71.1,93,143,13.4037,76.7316
611642,Obalapura,Gubbi,14,13,15.6,93,148,13.4832,76.7569
611941,Padegudi,Gubbi,338,241,308.2,42,311,13.1592,76.8692
611699,Patravatanhalli,Gubbi,63,45,46.9,84,355,13.4614,76.9569
611903,Peddenahalli,Gubbi,124,94,119.4,48,200,13.2196,76.8379
611912,Pendaranahalli,Gubbi,107,74,98.3,59,127,13.1854,76.849
611866,Peramasandra,Gubbi,180,78,96.5,58,418,13.2975,76.7663
611689,Pinnenahalli,Gubbi,116,76,131.9,16,348,13.4626,76.8515
611833,Prabhuvanahalli,Gubbi,274,198,232.4,76,469,13.2923,76.977
611651,Pura,Gubbi,87,74,96.1,71,377,13.4389,76.7939
611782,Rajanapenche,Gubbi,93,59,62.6,9,72,13.3451,76.8052
611876,Ramapura,Gubbi,168,114,170.7,27,200,13.2412,76.8515
611774,Rampura,Gubbi,259,146,202.6,45,258,13.3483,76.8651
611864,Rampura,Gubbi,127,89,80.5,94,356,13.2875,76.8138
611682,Ranganahalli,Gubbi,49,42,60.0,98,190,13.4935,76.8958
611638,Rangapur,Gubbi,4,3,3.7,100,135,13.4899,76.7333
611627,Rangapura,Gubbi,11,9,6.4,100,198,13.5187,76.8588
611826,Rayarahatti,Gubbi,291,143,152.3,11,162,13.3232,76.9459
611677,Reddihalli,Gubbi,30,25,25.2,57,319,13.5405,76.9097
611738,Sagasandra,Gubbi,118,93,129.4,86,279,13.4043,76.8316
611766,Samudranakote,Gubbi,89,59,66.8,71,164,13.3682,76.8249
611685,Sanabanahalli,Gubbi,98,78,60.6,91,230,13.4724,76.874
611690,Sanganahalli,Gubbi,23,20,16.9,96,543,13.4489,76.8691
611747,Sankapura,Gubbi,102,82,72.5,88,155,13.3885,76.8565
611701,Sattenahalli,Gubbi,215,77,127.2,100,245,13.4459,76.9464
611652,Settihalli,Gubbi,68,52,67.0,68,554,13.438,76.8248
611931,Shankaradevihalli,Gubbi,74,55,65.9,93,167,13.1533,76.9712
611617,Shivarampura,Gubbi,159,132,179.1,100,995,13.5777,76.7676
611614,Siddapur,Gubbi,40,26,19.1,68,2247,13.5096,76.7429
611792,Sigehalli,Gubbi,65,49,57.0,97,102,13.3167,76.7713
611706,Sigenahalli,Gubbi,6,5,5.2,50,144,13.4291,76.8777
611827,Singonahalli,Gubbi,416,258,383.9,93,200,13.3246,76.96
611643,Sivapura,Gubbi,255,106,144.9,25,670,13.4817,76.7702
611753,Sivasandra,Gubbi,126,89,155.8,55,786,13.3546,76.7509
611746,Somalapura,Gubbi,227,147,194.6,76,272,13.3863,76.8762
611910,Somashastri Hosur,Gubbi,742,279,377.7,98,377,13.2074,76.8522
611783,Sopanahalli,Gubbi,15,15,10.2,7,48,13.3414,76.8078
611696,Sorekaipente,Gubbi,168,103,129.5,8,481,13.4806,76.9596
611853,Surigenahalli,Gubbi,157,86,121.4,86,136,13.2329,76.9413
611854,Surigenahalli Kaval,Gubbi,473,265,285.2,69,1003,13.2214,76.9353
611779,Syagaranahalli,Gubbi,90,71,115.8,99,189,13.349,76.8223
611669,Talekoppa,Gubbi,220,135,151.8,80,1022,13.4908,76.886
611793,Teggihalli,Gubbi,69,51,69.6,45,151,13.3093,76.7771
611659,Tevadehalli,Gubbi,129,101,133.4,78,191,13.4319,76.833
611660,Timalapura,Gubbi,75,56,69.8,51,108,13.4286,76.8168
611784,Timmalipalya,Gubbi,106,74,59.8,2,41,13.3392,76.8062
611713,Timmanapalya,Gubbi,124,105,215.6,40,624,13.4353,76.9402
611810,Tippur,Gubbi,217,139,146.0,98,755,13.3623,76.8972
611675,Togaregunte,Gubbi,55,45,67.3,96,345,13.5591,76.9072
611879,Togarighatta,Gubbi,175,79,100.6,87,218,13.268,76.8639
611700,Tondasanahalli,Gubbi,22,16,16.8,23,309,13.4608,76.9421
611842,Torehalli,Gubbi,209,153,240.5,34,177,13.275,76.9089
611768,Tyagatur,Gubbi,391,277,346.0,72,469,13.3562,76.837
611771,Uddehosakere,Gubbi,241,160,153.6,94,517,13.3691,76.8722
611653,Unaganala,Gubbi,61,37,47.0,59,743,13.4533,76.8189
611937,Ungra,Gubbi,156,111,234.0,33,393,13.1544,76.9266
611945,Urikehalli,Gubbi,74,49,75.6,64,148,13.1374,76.8686
611908,Vadavanaghatta,Gubbi,199,137,218.0,20,153,13.1956,76.8272
611857,Vaddarahatti,Gubbi,135,95,109.1,71,273,13.2067,76.9642
611906,Varahasandra,Gubbi,223,85,150.2,92,345,13.195,76.8083
611812,Varenahalli,Gubbi,63,49,76.0,79,180,13.3514,76.9231
611654,Vartikatte,Gubbi,172,114,143.4,4,169,13.4551,76.8393
611751,Virapura,Gubbi,34,27,32.4,85,93,13.3891,76.8038
611764,Virupakshapura,Gubbi,121,81,86.5,98,427,13.3648,76.7993
611888,Yadavanahalli,Gubbi,211,134,195.4,96,358,13.2468,76.8878
611649,Yagachikatte,Gubbi,239,135,185.9,71,518,13.4659,76.7798
611899,Yalachihalli,Gubbi,283,173,233.4,66,419,13.207,76.8803
611703,Yallenahalli,Gubbi,73,58,113.9,10,127,13.4345,76.9291
611623,Yarabahalli,Gubbi,87,56,102.0,90,342,13.5558,76.8274
611785,Yellapura,Gubbi,141,80,119.6,72,291,13.3435,76.7967
611786,Yellapura,Gubbi,74,57,67.7,82,309,13.3388,76.7658
611758,Yemmedoddi,Gubbi,30,26,23.3,63,148,13.3496,76.7386
611661,Yerekaval,Gubbi,314,205,219.1,21,685,13.4233,76.8072
612722,Bairanayakanhalli,Kunigal,5,5,3.4,0,446,12.782,76.9935
612438,Hedigere,Kunigal,2,1,1.2,100,350,13.0931,76.934
612721,Kodavatti,Kunigal,12,10,6.8,42,967,12.7873,76.9892
612746,Nidsale,Kunigal,4,4,3.9,25,694,12.7553,77.0718
610315,Bevinahalli,Sira,14,12,20.6,79,3548,13.9343,76.8123
610408,Bukkapatna R F,Sira,2,2,5.9,100,685,13.7114,76.6886
611972,Adinayakanahalli,Tiptur,324,173,165.2,32,694,13.3268,76.5022
612148,Agrahaara,Tiptur,139,73,126.2,17,118,13.1923,76.5755
612132,Aladahalli,Tiptur,565,315,361.6,57,462,13.2195,76.4916
612013,Alur,Tiptur,806,434,521.6,18,612,13.3104,76.4515
