dataset,level,unit,year,area_or_district_or_taluk,crop,value,source_resource_id
top_taluk_grapes,taluk,hectares,2018-19,Basavan Bagewadi,Grapes,821,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_grapes,taluk,hectares,2018-19,Indi,Grapes,750,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_tomato,taluk,hectares,2018-19,Mulabagilu,Tomato,4466,4543cdc5-6939-46cc-8c6c-142143ebad1e
top_taluk_tomato,taluk,hectares,2018-19,Srinivaspura,Tomato,3180,4543cdc5-6939-46cc-8c6c-142143ebad1e
top_taluk_tomato,taluk,hectares,2018-19,Kolar,Tomato,3052,4543cdc5-6939-46cc-8c6c-142143ebad1e
top_taluk_tomato,taluk,hectares,2018-19,Bangarpet,Tomato,2800,4543cdc5-6939-46cc-8c6c-142143ebad1e
top_taluk_tomato,taluk,hectares,2018-19,Pavagada,Tomato,2528,4543cdc5-6939-46cc-8c6c-142143ebad1e
top_taluk_tomato,taluk,hectares,2018-19,Gundlupet,Tomato,2157,4543cdc5-6939-46cc-8c6c-142143ebad1e
top_taluk_tomato,taluk,hectares,2018-19,Chinthamani,Tomato,2015,4543cdc5-6939-46cc-8c6c-142143ebad1e
top_taluk_tomato,taluk,hectares,2018-19,Malur,Tomato,1931,4543cdc5-6939-46cc-8c6c-142143ebad1e
top_taluk_tomato,taluk,hectares,2018-19,Chamarajanagara,Tomato,1918,4543cdc5-6939-46cc-8c6c-142143ebad1e
top_taluk_onion,taluk,hectares,2018-19,Bagalkote,Onion,13263,02ad6bf0-218a-401b-9e37-a3f5b699dbac
top_taluk_onion,taluk,hectares,2018-19,Kukanuru,Onion,12297,02ad6bf0-218a-401b-9e37-a3f5b699dbac
top_taluk_onion,taluk,hectares,2018-19,Gadag,Onion,12166,02ad6bf0-218a-401b-9e37-a3f5b699dbac
top_taluk_onion,taluk,hectares,2018-19,Challakere,Onion,10481,02ad6bf0-218a-401b-9e37-a3f5b699dbac
top_taluk_onion,taluk,hectares,2018-19,Navalgund,Onion,9481,02ad6bf0-218a-401b-9e37-a3f5b699dbac
top_taluk_onion,taluk,hectares,2018-19,Rona,Onion,8500,02ad6bf0-218a-401b-9e37-a3f5b699dbac
top_taluk_onion,taluk,hectares,2018-19,Annigeri,Onion,8487,02ad6bf0-218a-401b-9e37-a3f5b699dbac
top_taluk_onion,taluk,hectares,2018-19,Yelburga,Onion,6938,02ad6bf0-218a-401b-9e37-a3f5b699dbac
top_taluk_onion,taluk,hectares,2018-19,Kolhara,Onion,6938,02ad6bf0-218a-401b-9e37-a3f5b699dbac
