village,taluk,district,lat,lon,coconut_acres
Bidarekavalu,Arsikere,Hassan,13.165843,76.372382,239.48
Bilenahalli,Arsikere,Hassan,13.186768,76.200114,29.22
Bisalehalli,Arsikere,Hassan,13.323337,76.190279,120.4
Bommagodanahalli,Arsikere,Hassan,13.286436,76.065438,119.15
Bommanahalli,Arsikere,Hassan,13.290303,76.212389,5.0
Bommasamudra,Arsikere,Hassan,13.53669,76.373559,33.62
Bommenahalli,Arsikere,Hassan,13.365083,76.140401,289.68
Borehalli,Arsikere,Hassan,13.189759,76.289835,174.8
Buchenahalli,Arsikere,Hassan,13.194441,76.313371,503.4
Byadarahalli,Arsikere,Hassan,13.431913,76.237351,8.62
Challapura,Arsikere,Hassan,13.265703,76.300369,224.05
Chandlapura,Arsikere,Hassan,13.318971,76.312788,106.88
Channapura,Arsikere,Hassan,13.133241,76.281931,18.23
Channaykanahalli,Arsikere,Hassan,13.191365,76.348625,75.22
Cheelanahalli,Arsikere,Hassan,13.193733,76.255879,80.28
Chikkabanavara,Arsikere,Hassan,13.40387,76.186856,14.4
Chikkagandasi,Arsikere,Hassan,13.18016,76.314825,471.2
Chikkahalkuru,Arsikere,Hassan,13.421701,76.335812,130.78
Chikkajjikattehalli,Arsikere,Hassan,13.385024,76.092153,209.4
Chikkametikurke,Arsikere,Hassan,13.457286,76.383582,209.03
Chikkarehalli,Arsikere,Hassan,13.435512,76.14578,17.7
Chikkondihalli,Arsikere,Hassan,13.477937,76.331413,486.2
Chikkuru,Arsikere,Hassan,13.3343,76.204106,441.0
Chitnahalli,Arsikere,Hassan,13.180131,76.242654,125.7
D Kallahalli,Arsikere,Hassan,13.291488,76.162505,41.98
Dasenahalli,Arsikere,Hassan,13.18182,76.303587,105.15
Deshani,Arsikere,Hassan,13.269822,76.158116,295.97
Devagondanahalli,Arsikere,Hassan,13.344693,76.214288,66.3
Devarayapattana,Arsikere,Hassan,13.237339,76.203317,56.97
Devihalli,Arsikere,Hassan,13.265676,76.12006,63.77
